SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
臺南(北門),臺南市,18,,良好,0.3,0.08,0.1,18,19,4,ND,1.6,1.7,0.1,1.8,241,2020-06-04 21:00,1,5,1,120.124444,23.264722,310
屏東(琉球),屏東縣,23,,良好,0,0.09,0.1,22,23,11,8,2.5,3.8,1.3,2.2,316,2020-06-04 21:00,7,9,1,120.377222,22.352222,204
新北(樹林),新北市,28,,良好,1.4,0.41,0.3,9.9,29,28,12,18,21,3.2,2,102,2020-06-04 21:00,9,24,1,121.383528,24.949028,203
彰化(大城),彰化縣,21,,良好,3,0.26,0.3,13,23,16,6,4.5,5.8,1.3,1,169,2020-06-04 21:00,3,14,3,120.273117,23.843139,202
臺南(麻豆),臺南市,17,,良好,0.7,0.58,0.5,5.1,18,11,5,13,17,4.9,0.4,210,2020-06-04 21:00,3,7,1,120.245831,23.179047,201
富貴角,新北市,29,,良好,0.6,0.14,0.1,23,26,14,7,5.8,5.7,-0.1,1,135,2020-06-04 21:00,9,24,1,121.536763,25.298562,84
麥寮,雲林縣,18,,良好,1.6,0.26,0.2,8.3,17,28,10,8.5,13,4.2,1.9,205,2020-06-04 21:00,5,17,2,120.251825,23.753506,83
關山,臺東縣,30,,良好,1.5,-,,31,32,19,10,2.4,2.6,0.2,1.1,339,2020-06-04 21:00,9,14,1,121.161933,23.045083,80
馬公,澎湖縣,14,,良好,2.5,0.2,0.2,17,15,9,ND,3.1,4.6,1.6,2,174,2020-06-04 21:00,2,9,2,119.566158,23.569031,78
金門,金門縣,26,,良好,1.8,0.08,0.1,18,27,21,8,7.2,7.8,0.7,4,214,2020-06-04 21:00,8,19,2,118.312256,24.432133,77
馬祖,連江縣,39,,良好,1.6,0.07,0.1,34,32,23,7,4.4,5.6,1.2,3.1,206,2020-06-04 21:00,12,27,2,119.949875,26.160469,75
埔里,南投縣,34,,良好,0.9,0.22,0.2,22,37,21,10,10,10,0.2,0.8,230,2020-06-04 21:00,10,16,1,120.967903,23.968842,72
復興,高雄市,18,,良好,1.5,0.23,0.2,15,18,6,6,7.1,7.6,0.5,1.3,284,2020-06-04 21:00,5,10,2,120.312017,22.608711,71
永和,新北市,32,,良好,2.1,0.83,0.6,9.2,30,18,11,22,37,15,1.2,213,2020-06-04 21:00,10,22,2,121.516306,25.017,70
竹山,南投縣,28,,良好,2.4,0.15,0.1,16,30,20,8,5.9,6.6,0.7,0.8,240,2020-06-04 21:00,5,16,2,120.677306,23.756389,69
中壢,桃園市,31,,良好,1.2,1.31,1.2,5.8,11,14,11,29,52,22,1,210,2020-06-04 21:00,10,18,1,121.221667,24.953278,68
三重,新北市,44,,良好,5.1,1.68,1.5,-,,21,12,22,95,73,,,2020-06-04 21:00,14,25,3,121.493806,25.072611,67
冬山,宜蘭縣,29,,良好,1,0.13,0.2,13,21,27,12,1.7,3.2,1.5,1.5,241,2020-06-04 21:00,9,27,2,121.792928,24.632203,66
宜蘭,宜蘭縣,27,,良好,1.9,0.18,0.2,23,29,27,7,3.3,3.4,0.1,1.3,334,2020-06-04 21:00,8,24,2,121.746394,24.747917,65
陽明,臺北市,27,,良好,2.5,0.27,0.1,24,29,18,6,7.2,7.8,0.6,,,2020-06-04 21:00,7,12,2,121.529583,25.182722,64
花蓮,花蓮縣,27,,良好,0.2,0.33,0.2,14,29,25,8,9.1,10,1.4,2.5,310,2020-06-04 21:00,8,25,1,121.599769,23.971306,63
臺東,臺東縣,41,,良好,1,0.32,0.3,35,44,23,6,4.6,4.8,0.2,0.9,265,2020-06-04 21:00,6,21,1,121.15045,22.755358,62
恆春,屏東縣,23,,良好,0.7,0.06,0.1,24,25,7,4,0.4,1.6,1.2,4.3,327,2020-06-04 21:00,4,5,1,120.788928,21.958069,61
潮州,屏東縣,23,,良好,2.5,0.22,0.2,10,25,19,8,13,13,0.5,1.2,68,2020-06-04 21:00,6,19,2,120.561175,22.523108,60
屏東,屏東縣,25,,良好,0.8,0.22,0.2,14,27,17,8,8.5,11,2.2,2.1,297,2020-06-04 21:00,6,18,1,120.488033,22.673081,59
小港,高雄市,17,,良好,2.2,0.14,0.1,14,18,10,5,7.2,9.8,2.6,1.4,293,2020-06-04 21:00,4,13,2,120.337736,22.565833,58
前鎮,高雄市,16,,良好,2.2,0.17,0.2,16,17,8,ND,,,,1.7,7.9,2020-06-04 21:00,3,9,2,120.307564,22.605386,57
前金,高雄市,19,,良好,1.7,0.18,0.2,19,21,6,3,1.9,2.7,0.8,1.7,25,2020-06-04 21:00,3,6,2,120.288086,22.632567,56
左營,高雄市,18,,良好,1.8,0.13,0.1,14,19,11,3,5.7,6.3,0.6,1.5,334,2020-06-04 21:00,3,6,2,120.292917,22.674861,54
楠梓,高雄市,19,,良好,1.8,0.16,0.2,15,21,8,5,5.6,5.9,0.2,2.2,290,2020-06-04 21:00,4,12,2,120.328289,22.733667,53
林園,高雄市,23,,良好,1.8,0.03,0.1,21,25,11,3,,,,1.8,272,2020-06-04 21:00,5,11,2,120.41175,22.4795,52
大寮,高雄市,16,,良好,2.2,0.27,0.2,6.9,17,17,6,12,14,1.3,1.3,298,2020-06-04 21:00,5,15,2,120.425081,22.565747,51
鳳山,高雄市,18,,良好,0.8,0.38,0.3,11,19,10,3,11,12,1.4,1.9,278,2020-06-04 21:00,2,10,1,120.358083,22.627392,50
仁武,高雄市,18,,良好,0.6,0.16,0.1,13,19,5,3,7.3,9.3,2,2.1,294,2020-06-04 21:00,4,8,1,120.332631,22.689056,49
橋頭,高雄市,16,,良好,2.8,0.25,0.2,14,17,11,3,6,7.1,1,1.9,257,2020-06-04 21:00,3,15,2,120.305689,22.757506,48
美濃,高雄市,28,,良好,1.5,0.18,0.2,12,30,16,9,5.2,6.5,1.3,0.4,11,2020-06-04 21:00,6,14,1,120.530542,22.883583,47
臺南,臺南市,18,,良好,1.5,0.14,0.1,17,19,11,3,,,,1.4,285,2020-06-04 21:00,5,7,2,120.202617,22.984581,46
安南,臺南市,19,,良好,1.6,0.14,0.1,16,21,10,5,5,5,0,1.6,251,2020-06-04 21:00,5,12,2,120.2175,23.048197,45
善化,臺南市,17,,良好,2.3,0.36,0.2,3.2,18,17,7,18,24,5.5,0.5,264,2020-06-04 21:00,4,11,3,120.297142,23.115097,44
新營,臺南市,19,,良好,1.7,0.2,0.2,8.1,20,13,5,9.7,11,1.6,1.6,249,2020-06-04 21:00,6,10,2,120.31725,23.305633,43
嘉義,嘉義市,19,,良好,1,0.24,0.2,9.5,20,15,6,9.9,11,1.2,1.6,227,2020-06-04 21:00,4,13,1,120.440833,23.462778,42
臺西,雲林縣,24,,良好,1.7,0.12,0.1,11,18,1,9,7,8,1,2.4,203,2020-06-04 21:00,7,5,2,120.202842,23.717533,41
朴子,嘉義縣,18,,良好,1.7,0.2,0.2,11,19,22,5,5.2,8.6,3.3,0.9,199,2020-06-04 21:00,3,15,2,120.24781,23.467123,40
新港,嘉義縣,19,,良好,1.3,0.19,0.1,9.9,20,15,7,6,7.5,1.5,0.8,230,2020-06-04 21:00,6,13,2,120.345531,23.554839,39
崙背,雲林縣,18,,良好,1.7,0.1,0.1,11,19,19,6,5.5,6.5,1,0.8,207,2020-06-04 21:00,4,15,2,120.348742,23.757547,38
斗六,雲林縣,22,,良好,1.9,0.27,0.2,12,24,21,8,11,11,0.9,1.1,205,2020-06-04 21:00,7,16,1,120.544994,23.711853,37
南投,南投縣,26,,良好,2.1,0.24,0.1,13,28,20,12,10,11,1.2,1.7,193,2020-06-04 21:00,7,15,2,120.685306,23.913,36
二林,彰化縣,25,,良好,2.2,0.16,0.1,7.3,21,24,10,6.7,7.5,0.8,1.1,173,2020-06-04 21:00,8,20,3,120.409653,23.925175,35
